utmx utmy Watershednum elevation aspect slope
278035 4866115 7 708 0 5.710593
278045 4866115 7 708 0 5.710593
278055 4866115 7 708 353.6598 6.457954
278065 4866115 7 708 338.1986 7.667577
278075 4866115 7 709 341.5651 6.762861
278085 4866115 7 709 0 5.710593
278095 4866115 7 709 333.4349 6.37937
278105 4866115 7 710 333.4349 6.37937
278115 4866115 7 710 341.5651 6.762861
278125 4866115 7 711 338.1986 7.667577
278135 4866115 7 711 353.6598 6.457954
278145 4866115 7 711 341.5651 6.762861
278155 4866115 7 712 338.1986 7.667577
278165 4866115 7 712 348.6901 7.264627
278175 4866115 7 712 341.5651 8.984877
278185 4866115 7 713 344.0546 10.31508
278195 4866115 7 713 347.0054 9.468127
278205 4866115 7 714 347.0054 9.468127
278215 4866115 7 714 356.1859 10.64269
278225 4866115 7 714 348.6901 10.82504
278235 4866115 7 715 344.0546 10.31508
278245 4866115 7 715 356.1859 10.64269
278255 4866115 7 715 356.1859 10.64269
278265 4866115 7 715 347.0054 9.468127
278275 4866115 7 716 347.0054 9.468127
278285 4866115 7 716 356.1859 10.64269
278295 4866115 7 716 0 11.30993
278305 4866115 7 716 0 11.30993
278315 4866115 7 716 356.1859 10.64269
278795 4866115 9 701 15.9454 10.31508
278805 4866115 9 700 11.30993 10.82504
278815 4866115 9 700 356.6335 12.01703
278825 4866115 9 700 351.0274 13.51969
278835 4866115 9 701 343.3008 14.62828
278845 4866115 9 702 338.1986 15.06996
278855 4866115 9 703 343.3008 14.62828
278865 4866115 9 703 345.2564 13.79797
278875 4866115 9 704 337.6199 12.94241
278885 4866115 9 705 345.9637 11.64863
278895 4866115 9 705 0 11.30993
278905 4866115 9 705 345.9637 11.64863
278915 4866115 9 706 345.9637 11.64863
278925 4866115 9 706 0 11.30993
278935 4866115 9 706 356.6335 12.01703
278945 4866115 9 706 351.0274 13.51969
278955 4866115 9 707 354.2894 14.10346
278965 4866115 9 707 0 14.03624
278975 4866115 9 707 356.9872 13.37805
278985 4866115 9 707 353.6598 12.75587
278995 4866115 9 707 356.9872 13.37805
279005 4866115 9 707 354.2894 14.10346
279015 4866115 9 708 348.6901 14.30291
279025 4866115 9 708 346.6075 15.10092
279035 4866115 9 709 340.0169 16.3104
279045 4866115 9 710 336.8014 15.93889
279055 4866115 9 711 338.1986 15.06996
279065 4866115 9 712 339.7751 14.2036
279075 4866115 9 713 347.4712 12.97935
277695 4866125 7 727 45 8.049467
277705 4866125 7 726 37.87498 8.111279
277715 4866125 7 725 21.80141 7.667577
277725 4866125 7 725 29.0546 7.333393
277735 4866125 7 724 45 8.049467
277745 4866125 7 723 45 8.049467
277755 4866125 7 722 45 8.049467
277765 4866125 7 721 26.56505 6.37937
277775 4866125 7 721 26.56505 6.37937
277785 4866125 7 720 45 8.049467
277795 4866125 7 719 35.53768 6.13738
277805 4866125 7 719 33.69007 5.150652
277815 4866125 7 718 45 6.054499
277825 4866125 7 717 45 5.051153
277835 4866125 7 717 45 5.051153
277845 4866125 7 716 33.69007 5.150652
277855 4866125 7 716 33.69007 5.150652
277865 4866125 7 715 45 7.054132
277875 4866125 7 714 45 8.049467
277885 4866125 7 713 26.56505 6.37937
277895 4866125 7 713 26.56505 6.37937
277905 4866125 7 712 37.87498 8.111279
277915 4866125 7 711 21.80141 7.667577
277925 4866125 7 711 11.30993 7.264627
277935 4866125 7 711 21.80141 7.667577
277945 4866125 7 710 18.43495 6.762861
277955 4866125 7 710 0 5.710593
277965 4866125 7 710 6.340192 6.457954
277975 4866125 7 710 21.80141 7.667577
277985 4866125 7 709 18.43495 6.762861
277995 4866125 7 709 0 5.710593
278005 4866125 7 709 0 5.710593
278015 4866125 7 709 0 5.710593
278025 4866125 7 709 0 5.710593
278035 4866125 7 709 0 5.710593
278045 4866125 7 709 0 5.710593
278055 4866125 7 709 341.5651 6.762861
278065 4866125 7 710 338.1986 7.667577
278075 4866125 7 710 353.6598 6.457954
278085 4866125 7 710 0 5.710593
278095 4866125 7 710 333.4349 6.37937
278105 4866125 7 711 333.4349 6.37937
278115 4866125 7 711 333.4349 6.37937
278125 4866125 7 712 333.4349 6.37937
278135 4866125 7 712 353.6598 6.457954
278145 4866125 7 712 338.1986 7.667577
278155 4866125 7 713 338.1986 7.667577
278165 4866125 7 713 344.7449 8.111279
278175 4866125 7 714 333.4349 9.520202
278185 4866125 7 715 338.9625 9.876473
278195 4866125 7 715 351.8699 10.02499
278205 4866125 7 715 344.0546 10.31508
278215 4866125 7 716 348.6901 10.82504
278225 4866125 7 716 356.1859 10.64269
278235 4866125 7 716 347.0054 9.468127
278245 4866125 7 717 347.0054 9.468127
278255 4866125 7 717 356.1859 10.64269
278265 4866125 7 717 356.1859 10.64269
278275 4866125 7 717 347.0054 9.468127
278285 4866125 7 718 350.5377 8.64667
278295 4866125 7 718 0 8.530766
278305 4866125 7 718 0 8.530766
278315 4866125 7 718 0 8.530766
278325 4866125 7 718 0 8.530766
278785 4866125 9 703 11.30993 10.82504
278795 4866125 9 702 15.9454 10.31508
278805 4866125 9 702 3.814075 10.64269
278815 4866125 9 702 352.875 11.39565
278825 4866125 9 703 345.9637 11.64863
278835 4866125 9 703 339.444 12.05719
278845 4866125 9 704 333.4349 12.60438
278855 4866125 9 705 337.6199 12.94241
278865 4866125 9 706 345.2564 13.79797
278875 4866125 9 706 345.2564 13.79797
278885 4866125 9 707 349.992 12.17678
278895 4866125 9 707 356.6335 12.01703
278905 4866125 9 707 347.4712 12.97935
278915 4866125 9 708 349.992 12.17678
278925 4866125 9 708 356.6335 12.01703
278935 4866125 9 708 351.0274 13.51969
278945 4866125 9 709 351.0274 13.51969
278955 4866125 9 709 356.6335 12.01703
278965 4866125 9 709 356.6335 12.01703
278975 4866125 9 709 356.9872 13.37805
278985 4866125 9 709 354.2894 14.10346
278995 4866125 9 710 351.8699 14.85106
279005 4866125 9 710 354.8056 15.43664
279015 4866125 9 710 349.6952 15.61613
279025 4866125 9 711 344.7449 15.90988
279035 4866125 9 712 341.5651 15.46673
279045 4866125 9 713 338.1986 15.06996
279055 4866125 9 714 338.1986 15.06996
